DESCRIPTION                            NUMBER UNIT  I/P    O/P    E/R    S/B    OPEN  CPT,,,,,,,,,,,,,
NF-PROPYLTHIOURACIL ORAL TABLET 50MG  /TABLET,,,,,1 EA,0.00,0.00,0.00,0.00,0.00,,,
DO NOT USE                  /,,,,,9000,0.00,0.00,0.00,0.00,0.00,,,
MODERATE SEDATION(MS) MD SELF <5 30MIN /,,,,,10001 EA,352.00,352.00,352.00,0.00,.00 99151,,,
MODERATE SEDATION(MS) SELF >5 30MIN  /,,,,,10002 EA,525.00,0.00,0.00,0.00,0.00,,,
MODERATE SEDATION(MS) MD SELF ADD 15MIN /,,,,,10003 EA,433.00,0.00,0.00,0.00,0.00,,,
MODERATE SEDATION(MS) MD+MD <5 30MIN  /,,,,,10004 EA,541.00,0.00,0.00,0.00,0.00,,,
MODERATE SEDATION(MS) MD+MD >5 30MIN  /,,,,,10005,1050.00,0.00,0.00,0.00,0.00,,,
MODERATE SEDATION(MS) MD+MD ADD 15MIN  /,,,,,10006 EA,731.00,0.00,0.00,0.00,0.00,,,
MODERATE SEDATION(MS) MD SELF <5 30MIN /,,,,,10007 EA,425.00,425.00,425.00,0.00,.00 99151,,,
MODERATE SEDATION(MS) MD SELF <5 30MIN /,,,,,10010 EA,352.00,0.00,0.00,0.00,.00 99151,,,
BAD DEBT WRITE-OFF             /,,,,,99001 EA,0.00,0.00,0.00,0.00,0.00,,,
SMALL BALANCE ADJUSTMENT          /,,,,,99002 EA,0.00,0.00,0.00,0.00,0.00,,,
BALANCE TRANSFER              /,,,,,99003 EA,0.00,0.00,0.00,0.00,0.00,,,
BAD DEBT RECOVERY              /,,,,,99004 EA,0.00,0.00,0.00,0.00,0.00,,,
NONSUFFICIENT FUNDS FEE          /,,,,,99005 EA,33.00,0.00,0.00,0.00,0.00,,,
PATIENT REFUND                /,,,,,99006 EA,0.00,0.00,0.00,0.00,0.00,,,
PRIOR BAD DEBT                /,,,,,99007 EA,0.00,0.00,0.00,0.00,0.00,,,
EMPLOYEE DISCOUNTS             /,,,,,99008 EA,0.00,0.00,0.00,0.00,0.00,,,
COURTESY DISCOUNTS             /,,,,,99009 EA,0.00,0.00,0.00,0.00,0.00,,,
Administrative Adjustment         /,,,,,99010 EA,0.00,0.00,0.00,0.00,0.00,,,
PR AR DEDUCTION               /,,,,,99011 EA,0.00,0.00,0.00,0.00,0.00,,,
CONVERSION ACCOUNT ADJUSTMENT       /,,,,,99015 EA,0.00,0.00,0.00,0.00,0.00,,,
TIMELY FILING ADJUSTMENT          /,,,,,99016 EA,0.00,0.00,0.00,0.00,0.00,,,
CHARITY CARE ADJUSTMENT          /,,,,,99017 EA,0.00,0.00,0.00,0.00,0.00,,,
Employee Testing write off        /,,,,,99018,0.00,0.00,0.00,0.00,0.00,,,
PRIOR BAD DEBT                /,,,,,99100 EA,0.00,0.00,0.00,0.00,0.00,,,
MEDICARE NON COVERED WO          /,,,,,99500 EA,0.00,0.00,0.00,0.00,0.00,,,
AMBULANCE/BLS/NONEMERGENCY TRANSPORT  /,,,,,100428,0.00,0.00,0.00,0.00,0.00,,,
OR LEVEL I INITIAL 30           /,,,,,107003 EA,4200.00,4200.00,4200.00,4200.00,0.00,,,
OR LEVEL I SUBSQ 15 MIN          /,,,,,107006 EA,1050.00,1050.00,1050.00,1050.00,0.00,,,
OR LEVEL II INITIAL 30 M          /,,,,,107007 EA,4725.00,4725.00,4725.00,4725.00,0.00,,,
OR LEVEL II SUBSQ 15 MIN          /,,,,,107009 EA,1260.00,1260.00,1260.00,1260.00,0.00,,,
OR LEVEL III INTIAL 30           /,,,,,107011 EA,5250.00,5250.00,5250.00,5250.00,0.00,,,
OR LEVEL III SUBSQ 15           /,,,,,107012 EA,1785.00,1785.00,1785.00,1785.00,0.00,,,
OR LEVEL IV INITIAL 30 MIN        /,,,,,107013 EA,1597.00,1597.00,1597.00,1597.00,0.00,,,
OR LEVEL IV SUBSQ 15 MIN          /,,,,,107014 EA,1998.00,1998.00,1998.00,1988.00,0.00,,,
TRANSFUSION                 /,,,,,107039 EA,0.00,0.00,0.00,0.00,.00 36430,,,
INFUSION THERAP\DIAG 1ST SURG       /,,,,,107046 EA,0.00,0.00,0.00,0.00,.00 96365,,,
LIVER BIOPSY                 /,,,,,120013 EA,0.00,0.00,0.00,0.00,0.00,,,
INSER/REPLACE SNEURO/PULSE GEN/RECEIVER /,,,,,120015 EA,0.00,0.00,0.00,0.00,.00 63685,,,
GEN NEUROSTIMULATOR IMPLANT        /,,,,,120016 EA,0.00,0.00,0.00,0.00,.00 C1767,,,
GEN NERO IMPLANT W RECHARGE BATTERY   /,,,,,120017 EA,0.00,0.00,0.00,0.00,.00 C1820,,,
"LEAD, NEURO STIMULATOR IMPLANT      /",,,,,120018 EA,0.00,0.00,0.00,0.00,.00 C1778,,,
PECU IMPLANT NEURO W EPIDURAL       /,,,,,120019 EA,0.00,0.00,0.00,0.00,.00 63650,,,
ELECTRIC ANALY OF INPG SYSTEM 1 HOUR  /,,,,,120020 EA,0.00,0.00,0.00,0.00,.00 95972,,,
ELEC ANALY INPGS PROGRAM 30 MIN ADD’L  /,,,,,120021 EA,0.00,0.00,0.00,0.00,.00 95973,,,
ELECTRIC ANALYSIS OF INPGS SIMPLE    /,,,,,120022 EA,0.00,0.00,0.00,0.00,.00 95971,,,
REMOVAL NEURO STIM ELECTRODE       /,,,,,120023 EA,0.00,0.00,0.00,0.00,.00 63661,,,
REV/REM OF SNPG OR RECEIVER        /,,,,,120024 EA,0.00,0.00,0.00,0.00,.00 63688,,,
REVISION OF SNEP WITH FLURO        /,,,,,120025 EA,0.00,0.00,0.00,0.00,.00 63663,,,
IMPLANT OF NEURO STIM ELEC INTO PERE NER/,,,,,120026 EA,0.00,0.00,0.00,0.00,.00 64575,,,
O/P SURG RECOVERY 1ST 30          /,,,,,120031 EA,0.00,0.00,0.00,0.00,0.00,,,
IM/SQ INJECTION SURG            /,,,,,125001 EA,38.00,38.00,38.00,38.00,.00 96372,,,
INJECTION ADMIN - IV SURG         /,,,,,125002 EA,0.00,0.00,0.00,0.00,.00 96374,,,
DESCRIPTION,,,,,NUMBER UNIT,I/P,O/P,E/R,S/B,OPEN,CPT,,
INFUSION FIRST HOUR SURG          /,,,,,125005 EA,275.00,275.00,275.00,275.00,.00 96360,,,
CHEMOTHERAPY SQ/IM             /,,,,,125006 EA,0.00,0.00,0.00,0.00,.00 96401,,,
TRANSFUSION                 /,,,,,125012 EA,0.00,0.00,0.00,0.00,.00 36430,,,
TREATMENT ROOM                /,,,,,125049 EA,525.00,525.00,525.00,525.00,0.00,,,
PROCEDURE ROOM                /,,,,,125050 EA,788.00,0.00,0.00,0.00,0.00,,,
SKIN TB-PPD                 /,,,,,125052 EA,0.00,0.00,0.00,0.00,.00 86580,,,
TUBERCULIN TEST NUSD            /,,,,,125053 EA,30.00,30.00,30.00,27.00,.00 86580,,,
CRE PROCEDURE                /,,,,,143245 EA,0.00,0.00,0.00,0.00,.00 43245,,,
KIT TRANSPAC IV MONITORING        /1 EA,,,,,180121 EA,0.00,0.00,0.00,0.00,0.00,,,
VENOUS BILATERAL EXTREMITY STUDY DOPPLER/,,,,,290965,0.00,0.00,0.00,0.00,.00 93965,,,
MRI FACIAL WO                /,,,,,340999 EA,0.00,0.00,0.00,4200.00,.00 70540,,,
BB ANTIBODY DETECTION (DNU)        /,,,,,371200 EA,0.00,0.00,0.00,0.00,.00 86850,,,
BB ANTIBODY ID (DNU)            /,,,,,371201 EA,0.00,0.00,0.00,0.00,.00 86870,,,
MYASTHENIA GRAVIS              /,,,,,377550 EA,0.00,0.00,0.00,0.00,.00 83519,,,
MRO REVIEW                  /,,,,,379998 EA,0.00,0.00,0.00,0.00,0.00,,,
BLOOD GLUCOSE FINGERSTICK HEALTH FAIR  /,,,,,379999,0.00,0.00,0.00,0.00,0.00,,,
RECOVERY INITIAL 30 MIN          /,,,,,407401 EA,735.00,735.00,735.00,735.00,0.00,,,
RECOVERY SUBSQ 15 MIN           /,,,,,407402 EA,315.00,315.00,315.00,315.00,0.00,,,
ACTH STIM PANEL ADR INS          /,,,,,710338 EA,0.00,0.00,0.00,0.00,.00 80400,,,
CA 125 (do not use)             /,,,,,711558 EA,0.00,0.00,0.00,0.00,.00 86304,,,
LIVER-KIDNEY MICRO AB           /,,,,,711664 EA,0.00,0.00,0.00,0.00,.00 86376,,,
THHROID ANTIBODY PEROXIDAE        /,,,,,712800 EA,0.00,0.00,0.00,0.00,.00 82024,,,
FNA W\O IMAGE                /,,,,,801021 EA,0.00,0.00,0.00,660.75,.00 10021,,,
FNA W\O IMAGE                /,,,,,811021 EA,660.75,660.75,660.75,660.75,.00 10021,,,
REGULAR DIET                 /,,,,,900000 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM SURGERY              /,,,,,999001 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM RECOVERY UNIT          /,,,,,999004 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM MED SURG             /,,,,,999010 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM PHARMACY             /,,,,,999012 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM HOUSE SUPERVISOR        /,,,,,999016 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM MATERIALS             /,,,,,999018 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM ANESTHESIA            /,,,,,999022 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM CAT SCAN             /,,,,,999026 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM RADIOLOGY             /,,,,,999028 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM ULTRASOUND            /,,,,,999029 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM MAMMO               /,,,,,999031 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM PATHOLOGY             /,,,,,999032 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM MRI                /,,,,,999034 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM LABORATORY            /,,,,,999037 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM ELECTRO CARDIOLOGY       /,,,,,999044 EA,0.00,0.00,0.00,0.00,0.00,,,
TELEMETRY                   /,,,,,999045 EA,0.00,0.00,0.00,0.00,.00 93236,,,
MISC ITEM CARDIO ULTRASOUND        /,,,,,999050 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM RESPIRATORY THERAPY       /,,,,,999054 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM CENTRAL STERILE         /,,,,,999057 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM BLOOD BANK            /,,,,,999058 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM EMERGENCY SERVICES       /,,,,,999080 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM DIETARY              /,,,,,999099 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM NURSING ADM           /,,,,,999600 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM SPECIALTY CLINIC        /,,,,,999778 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM HOUSEKEEPING           /,,,,,999810 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM LAUNDRY & LINEN         /,,,,,999820 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM GROUNDS              /,,,,,999830 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM PLANT OPERATIONS        /,,,,,999835 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM MEDICAL RECORDS         /,,,,,999840 EA,0.00,0.00,0.00,0.00,0.00,,,
DESCRIPTION                            NUMBER UNIT  I/P    O/P    E/R    S/B    OPEN  CPT,,,,,,,,,,,,,
MISC ITEM UTILIZATION & REVIEW,,,/,,999849 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM INFECTION CONTROL,,,/,,999896 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM ADMINISTRATION,,,/,,999900 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM FINANCIAL MANAGEMENT,,,/,,999903 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM CREDIT - COLLECTIONS,,,/,,999904 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM BUSINESS OFFICE,,,/,,999905 EA,0.00,0.00,0.00,0.00,0.00,,,
MISC ITEM INFO SYSTEMS,,,/,,999908 EA,0.00,0.00,0.00,0.00,0.00,,,
